plant_id,bed_id,bed_type,out_survive,height_a_1,height_b_1,height_date_1,height_a_2,height_b_2,height_date_2
1,A,no-dig,1,70,69,7/03/2024,120,125,1/04/2024
2,B,dig,1,70,77,7/03/2024,104,105,1/04/2024
3,A,no-dig,0,,,,,,1/04/2024
4,B,dig,1,75,75,7/03/2024,115,114,1/04/2024
5,C,dig,1,131,135,7/03/2024,205,206,1/04/2024
6,D,no-dig,0,,,,,,1/04/2024
7,C,dig,0,,,,,,1/04/2024
8,D,no-dig,1,113,114,7/03/2024,161,171,1/04/2024
9,E,dig,1,113,112,7/03/2024,151,151,1/04/2024
10,E,dig,1,70,70,7/03/2024,92,90,1/04/2024
11,F,no-dig,1,67,69,7/03/2024,135,140,1/04/2024
12,F,no-dig,1,55,47,7/03/2024,95,100,1/04/2024
